,sex,income,region,age,question,answer
1924,Female,"$50,000 to $74,999",East North Central,30 - 44,2,Not at all worried
1925,Male,"$25,000 to $49,999",South Atlantic,45 - 59,2,Not at all worried
1926,Female,"$50,000 to $74,999",West South Central,60,2,Not at all worried
1927,Male,"$50,000 to $74,999",New England,60,2,Not so worried
1928,Male,"$50,000 to $74,999",East North Central,45 - 59,2,Not so worried
1929,Male,"$100,000 to $124,999",New England,45 - 59,2,Not so worried
1930,Female,"$25,000 to $49,999",East North Central,60,2,Extremely worried
1931,Male,"$75,000 to $99,999",Middle Atlantic,60,2,Not at all worried
1932,Female,"$75,000 to $99,999",Pacific,30 - 44,2,Somewhat worried
1933,Female,"$125,000 to $149,999",Mountain,30 - 44,2,Somewhat worried
1934,Male,"$75,000 to $99,999",Middle Atlantic,45 - 59,2,Not at all worried
1935,Female,"$50,000 to $74,999",West South Central,30 - 44,2,Not so worried
1936,Male,"$10,000 to $24,999",South Atlantic,30 - 44,2,Not at all worried
1937,Female,"$75,000 to $99,999",New England,18 - 29,2,Not at all worried
1938,Female,"$10,000 to $24,999",Middle Atlantic,45 - 59,2,Somewhat worried
1939,Female,"$10,000 to $24,999",Pacific,45 - 59,2,Not so worried
1940,Male,"$150,000 to $174,999",West South Central,45 - 59,2,Not at all worried
1941,Female,Prefer not to answer,Pacific,60,2,Not at all worried
1942,Female,"$50,000 to $74,999",Mountain,45 - 59,2,Somewhat worried
1943,Female,"$200,000 and up",South Atlantic,30 - 44,2,Not at all worried
1944,Male,"$75,000 to $99,999",South Atlantic,30 - 44,2,Not so worried
1945,Male,"$50,000 to $74,999",Pacific,60,2,Somewhat worried
1946,Female,"$50,000 to $74,999",Pacific,45 - 59,2,Somewhat worried
1947,Male,"$25,000 to $49,999",West North Central,30 - 44,2,Not so worried
1948,Male,"$75,000 to $99,999",East North Central,45 - 59,2,Not so worried
1949,Female,"$125,000 to $149,999",South Atlantic,60,2,Not so worried
1950,Female,"$200,000 and up",New England,30 - 44,2,Not so worried
1951,Female,"$100,000 to $124,999",West North Central,60,2,Not at all worried
1952,Female,"$75,000 to $99,999",Pacific,18 - 29,2,Somewhat worried
1953,Male,"$150,000 to $174,999",Mountain,60,2,Not at all worried
1954,Male,"$75,000 to $99,999",West North Central,60,2,Somewhat worried
1955,Female,"$50,000 to $74,999",Middle Atlantic,45 - 59,2,Not at all worried
1956,Male,"$200,000 and up",Pacific,60,2,Not at all worried
1957,Male,"$50,000 to $74,999",West South Central,45 - 59,2,Somewhat worried
1958,Female,"$75,000 to $99,999",Pacific,45 - 59,2,Somewhat worried
1959,Male,"$100,000 to $124,999",Middle Atlantic,60,2,Not at all worried
1960,Female,"$50,000 to $74,999",Pacific,18 - 29,2,Somewhat worried
1961,Female,"$25,000 to $49,999",West North Central,45 - 59,2,Not at all worried
1962,Male,"$25,000 to $49,999",West North Central,60,2,Very worried
1963,Female,"$50,000 to $74,999",Pacific,45 - 59,2,Extremely worried
1964,Female,"$0 to $9,999",Mountain,45 - 59,2,Somewhat worried
1965,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,2,Not at all worried
1966,Female,"$75,000 to $99,999",Pacific,60,2,Not so worried
1967,Female,"$50,000 to $74,999",South Atlantic,60,2,Not at all worried
1968,Female,"$0 to $9,999",East North Central,30 - 44,2,Very worried
1969,Female,"$75,000 to $99,999",East South Central,45 - 59,2,Not so worried
1970,Female,"$25,000 to $49,999",Pacific,45 - 59,2,Very worried
1971,Male,"$200,000 and up",Pacific,60,2,Somewhat worried
1972,Female,"$75,000 to $99,999",Pacific,30 - 44,2,Not at all worried
1973,Female,"$75,000 to $99,999",New England,30 - 44,2,Not so worried
1974,Female,"$50,000 to $74,999",East North Central,30 - 44,2,Somewhat worried
1975,Male,"$25,000 to $49,999",Middle Atlantic,45 - 59,2,Somewhat worried
1976,Female,Prefer not to answer,South Atlantic,30 - 44,2,Not at all worried
1977,Female,"$50,000 to $74,999",Mountain,30 - 44,2,Not so worried
1978,Male,"$100,000 to $124,999",Middle Atlantic,30 - 44,2,Not at all worried
1979,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,2,Not so worried
1980,Male,"$50,000 to $74,999",Pacific,30 - 44,2,Very worried
1981,Female,"$25,000 to $49,999",East North Central,30 - 44,2,Not so worried
1982,Female,"$25,000 to $49,999",South Atlantic,60,2,Not at all worried
1983,Male,"$75,000 to $99,999",Mountain,60,2,Not so worried
1984,Female,"$10,000 to $24,999",South Atlantic,30 - 44,2,Not at all worried
1985,Male,"$100,000 to $124,999",East North Central,45 - 59,2,Not at all worried
1986,Male,"$200,000 and up",Middle Atlantic,45 - 59,2,Not so worried
1987,Female,"$25,000 to $49,999",Pacific,60,2,Very worried
1988,Female,"$25,000 to $49,999",East North Central,30 - 44,2,Not at all worried
1989,Female,"$75,000 to $99,999",Mountain,18 - 29,2,Not so worried
1990,Female,"$25,000 to $49,999",East South Central,60,2,Somewhat worried
1991,Female,"$10,000 to $24,999",South Atlantic,60,2,Not so worried
1992,Female,"$25,000 to $49,999",West South Central,30 - 44,2,Not at all worried
1993,Male,"$75,000 to $99,999",West South Central,60,2,Not so worried
1994,Female,"$10,000 to $24,999",West North Central,18 - 29,2,Not at all worried
1995,Female,"$10,000 to $24,999",South Atlantic,18 - 29,2,Extremely worried
1996,Male,"$200,000 and up",Pacific,60,2,Not so worried
1997,Female,"$75,000 to $99,999",,45 - 59,2,Not so worried
1998,Male,"$25,000 to $49,999",Pacific,45 - 59,2,Not at all worried
1999,Female,"$0 to $9,999",East North Central,30 - 44,2,Not so worried
2000,Female,"$50,000 to $74,999",South Atlantic,45 - 59,2,Not at all worried
2001,Female,"$0 to $9,999",Pacific,30 - 44,2,Extremely worried
2002,Female,"$0 to $9,999",East North Central,30 - 44,2,Not so worried
2003,Female,"$10,000 to $24,999",New England,60,2,Not so worried
2004,Female,Prefer not to answer,Pacific,30 - 44,2,Very worried
2005,,,,,2,Not at all worried
2006,Male,"$75,000 to $99,999",New England,45 - 59,2,Not so worried
2007,Female,"$25,000 to $49,999",East South Central,30 - 44,2,Not at all worried
2008,Female,"$75,000 to $99,999",South Atlantic,30 - 44,2,Not at all worried
2009,Female,"$100,000 to $124,999",Middle Atlantic,45 - 59,2,Not at all worried
2010,Male,"$0 to $9,999",Pacific,45 - 59,2,Somewhat worried
2011,Female,"$25,000 to $49,999",East North Central,60,2,Not so worried
2012,Female,"$50,000 to $74,999",New England,30 - 44,2,Not at all worried
2013,Female,"$50,000 to $74,999",Middle Atlantic,60,2,Not so worried
2014,Female,"$75,000 to $99,999",South Atlantic,60,2,Not so worried
2015,Male,"$75,000 to $99,999",Mountain,60,2,Not at all worried
2016,Male,"$50,000 to $74,999",Pacific,45 - 59,2,Somewhat worried
2017,Female,"$10,000 to $24,999",East North Central,18 - 29,2,Not at all worried
2018,Female,"$200,000 and up",West North Central,60,2,Not so worried
2019,Male,"$75,000 to $99,999",East North Central,45 - 59,2,Not at all worried
2020,Female,Prefer not to answer,New England,60,2,Not at all worried
2021,Male,Prefer not to answer,Pacific,60,2,Not at all worried
2022,Female,"$50,000 to $74,999",Pacific,60,2,Somewhat worried
2023,Female,Prefer not to answer,Middle Atlantic,30 - 44,2,Extremely worried
2024,Female,"$50,000 to $74,999",East North Central,30 - 44,2,Not so worried
2025,,,,,2,Not so worried
2026,Male,Prefer not to answer,New England,18 - 29,3,No
2027,Male,"$75,000 to $99,999",East North Central,18 - 29,3,No
2028,Male,"$10,000 to $24,999",Pacific,18 - 29,3,No
2029,Male,"$25,000 to $49,999",West South Central,18 - 29,3,No
2030,Male,"$200,000 and up",Middle Atlantic,18 - 29,3,Yes
2031,Male,"$25,000 to $49,999",East North Central,18 - 29,3,No
2032,,,,,3,Yes
2033,Male,Prefer not to answer,South Atlantic,18 - 29,3,No
2034,Male,Prefer not to answer,East North Central,18 - 29,3,No
2035,Male,"$10,000 to $24,999",East North Central,18 - 29,3,No
2036,Male,"$50,000 to $74,999",West North Central,18 - 29,3,No
2037,Male,"$25,000 to $49,999",East South Central,18 - 29,3,No
2038,,,,,3,Yes
2039,Male,"$0 to $9,999",Pacific,18 - 29,3,Yes
2040,Male,"$100,000 to $124,999",New England,18 - 29,3,No
2041,Male,"$50,000 to $74,999",East North Central,18 - 29,3,Yes
2042,Male,"$25,000 to $49,999",East North Central,18 - 29,3,No
2043,Male,"$75,000 to $99,999",East North Central,18 - 29,3,Yes
2044,Male,"$25,000 to $49,999",Pacific,30 - 44,3,Yes
2045,Male,"$10,000 to $24,999",Pacific,30 - 44,3,Yes
2046,Male,"$50,000 to $74,999",Mountain,18 - 29,3,No
2047,Male,"$75,000 to $99,999",South Atlantic,30 - 44,3,No
2048,Male,"$50,000 to $74,999",Middle Atlantic,18 - 29,3,No
2049,Male,"$75,000 to $99,999",Middle Atlantic,18 - 29,3,Yes
2050,Male,"$25,000 to $49,999",East North Central,30 - 44,3,Yes
2051,Male,"$10,000 to $24,999",,18 - 29,3,No
2052,Male,"$75,000 to $99,999",East North Central,30 - 44,3,No
2053,Male,"$75,000 to $99,999",Middle Atlantic,30 - 44,3,No
2054,Male,"$25,000 to $49,999",East North Central,30 - 44,3,No
2055,Male,"$25,000 to $49,999",South Atlantic,18 - 29,3,No
2056,Male,"$25,000 to $49,999",East North Central,18 - 29,3,Yes
2057,Male,"$0 to $9,999",East North Central,18 - 29,3,No
2058,Male,"$25,000 to $49,999",,30 - 44,3,Yes
2059,Male,"$10,000 to $24,999",,18 - 29,3,Yes
2060,Male,"$100,000 to $124,999",East South Central,30 - 44,3,Yes
2061,Male,"$10,000 to $24,999",Pacific,18 - 29,3,No
2062,Male,"$175,000 to $199,999",New England,18 - 29,3,No
2063,Male,"$0 to $9,999",West North Central,18 - 29,3,Yes
2064,Male,"$125,000 to $149,999",Pacific,18 - 29,3,Yes
2065,Male,"$75,000 to $99,999",East North Central,30 - 44,3,No
2066,Male,"$25,000 to $49,999",,30 - 44,3,Yes
2067,Male,"$100,000 to $124,999",Mountain,18 - 29,3,No
2068,Male,"$50,000 to $74,999",Pacific,45 - 59,3,Yes
2069,Male,"$10,000 to $24,999",Pacific,45 - 59,3,Yes
2070,Male,"$50,000 to $74,999",Pacific,18 - 29,3,Yes
2071,Male,"$0 to $9,999",Pacific,18 - 29,3,Yes
2072,Male,"$0 to $9,999",West South Central,18 - 29,3,Yes
2073,Male,"$200,000 and up",Mountain,30 - 44,3,Yes
2074,Male,"$75,000 to $99,999",South Atlantic,18 - 29,3,No
2075,Male,"$150,000 to $174,999",Middle Atlantic,30 - 44,3,Yes
2076,Male,"$10,000 to $24,999",Middle Atlantic,45 - 59,3,Yes
2077,Male,"$200,000 and up",Pacific,45 - 59,3,Yes
2078,Male,"$10,000 to $24,999",West North Central,30 - 44,3,No
2079,Male,"$50,000 to $74,999",East South Central,45 - 59,3,No
2080,Male,"$0 to $9,999",East North Central,30 - 44,3,No
2081,Male,"$75,000 to $99,999",East North Central,30 - 44,3,No
2082,Male,Prefer not to answer,Pacific,45 - 59,3,No
2083,Male,Prefer not to answer,West North Central,30 - 44,3,No
2084,Male,Prefer not to answer,Pacific,18 - 29,3,No
2085,Male,"$50,000 to $74,999",West South Central,45 - 59,3,Yes
2086,Male,"$200,000 and up",Pacific,45 - 59,3,No
2087,Male,Prefer not to answer,Pacific,18 - 29,3,No
2088,Male,Prefer not to answer,Pacific,18 - 29,3,Yes
2089,Male,"$100,000 to $124,999",Pacific,45 - 59,3,Yes
2090,Male,Prefer not to answer,Pacific,18 - 29,3,No
2091,Male,"$125,000 to $149,999",Pacific,45 - 59,3,No
2092,Male,"$25,000 to $49,999",Pacific,30 - 44,3,No
2093,Male,Prefer not to answer,Pacific,18 - 29,3,No
2094,Male,"$75,000 to $99,999",Pacific,45 - 59,3,Yes
2095,Male,Prefer not to answer,Pacific,18 - 29,3,Yes
2096,Male,Prefer not to answer,Pacific,18 - 29,3,No
2097,Male,Prefer not to answer,Pacific,18 - 29,3,Yes
2098,Male,"$25,000 to $49,999",Pacific,18 - 29,3,Yes
2099,Male,"$25,000 to $49,999",Pacific,18 - 29,3,No
2100,Male,Prefer not to answer,Pacific,30 - 44,3,No
2101,Male,Prefer not to answer,Pacific,45 - 59,3,Yes
2102,Male,"$50,000 to $74,999",South Atlantic,45 - 59,3,No
2103,Male,"$10,000 to $24,999",Pacific,30 - 44,3,Yes
2104,Male,"$0 to $9,999",West North Central,18 - 29,3,Yes
2105,Male,"$0 to $9,999",West North Central,18 - 29,3,No
2106,Male,"$25,000 to $49,999",West North Central,30 - 44,3,No
2107,Male,"$10,000 to $24,999",East South Central,30 - 44,3,Yes
2108,Male,"$100,000 to $124,999",Pacific,18 - 29,3,Yes
2109,Male,Prefer not to answer,Pacific,45 - 59,3,Yes
2110,Male,"$10,000 to $24,999",Middle Atlantic,30 - 44,3,Yes
2111,Male,"$200,000 and up",Pacific,45 - 59,3,Yes
2112,Male,"$50,000 to $74,999",Pacific,30 - 44,3,Yes
2113,Male,"$0 to $9,999",,18 - 29,3,Yes
2114,Male,Prefer not to answer,West South Central,30 - 44,3,Yes
2115,Male,Prefer not to answer,South Atlantic,45 - 59,3,No
2116,Male,"$10,000 to $24,999",,18 - 29,3,No
2117,Male,"$200,000 and up",Pacific,30 - 44,3,Yes
2118,Male,"$125,000 to $149,999",Middle Atlantic,45 - 59,3,No
2119,Male,Prefer not to answer,East North Central,45 - 59,3,No
2120,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,3,Yes
2121,Male,Prefer not to answer,Pacific,18 - 29,3,No
2122,Male,Prefer not to answer,Pacific,18 - 29,3,No
2123,Male,Prefer not to answer,South Atlantic,45 - 59,3,No
2124,Male,Prefer not to answer,Pacific,18 - 29,3,Yes
2125,Male,"$0 to $9,999",Pacific,30 - 44,3,No
2126,Male,"$10,000 to $24,999",South Atlantic,30 - 44,3,No
2127,Male,"$0 to $9,999",East North Central,30 - 44,3,No
2128,Male,"$100,000 to $124,999",West South Central,45 - 59,3,Yes
2129,Male,"$25,000 to $49,999",East South Central,18 - 29,3,No
2130,Male,"$25,000 to $49,999",Mountain,30 - 44,3,Yes
2131,Male,"$50,000 to $74,999",West North Central,45 - 59,3,Yes
2132,Male,Prefer not to answer,Middle Atlantic,45 - 59,3,Yes
2133,Male,"$10,000 to $24,999",South Atlantic,30 - 44,3,Yes
2134,Male,"$10,000 to $24,999",Middle Atlantic,30 - 44,3,Yes
2135,Male,"$75,000 to $99,999",West South Central,30 - 44,3,Yes
2136,Male,"$100,000 to $124,999",South Atlantic,45 - 59,3,Yes
2137,Male,"$75,000 to $99,999",East North Central,30 - 44,3,Yes
2138,Male,"$25,000 to $49,999",East South Central,45 - 59,3,Yes
2139,Male,"$10,000 to $24,999",East North Central,45 - 59,3,Yes
2140,Male,"$50,000 to $74,999",Pacific,45 - 59,3,No
2141,Male,"$150,000 to $174,999",Pacific,45 - 59,3,No
2142,Male,"$50,000 to $74,999",West North Central,18 - 29,3,No
2143,Male,"$75,000 to $99,999",Mountain,60,3,No
2144,Male,"$25,000 to $49,999",South Atlantic,30 - 44,3,Yes
2145,Male,Prefer not to answer,Middle Atlantic,18 - 29,3,Yes
2146,Male,Prefer not to answer,East North Central,30 - 44,3,Yes
2147,Male,"$50,000 to $74,999",East South Central,30 - 44,3,No
2148,Male,"$200,000 and up",Pacific,45 - 59,3,Yes
2149,Male,"$125,000 to $149,999",West South Central,60,3,Yes
2150,Male,"$25,000 to $49,999",Pacific,60,3,Yes
2151,Male,"$75,000 to $99,999",Pacific,30 - 44,3,No
2152,Male,"$50,000 to $74,999",Mountain,18 - 29,3,Yes
2153,Male,"$100,000 to $124,999",East North Central,30 - 44,3,No
2154,Male,"$50,000 to $74,999",West South Central,30 - 44,3,No
2155,Male,"$50,000 to $74,999",East North Central,30 - 44,3,No
2156,Male,"$0 to $9,999",South Atlantic,18 - 29,3,Yes
2157,Male,"$0 to $9,999",South Atlantic,30 - 44,3,No
2158,Male,Prefer not to answer,West South Central,18 - 29,3,No
2159,Male,"$0 to $9,999",Mountain,60,3,No
2160,Male,"$25,000 to $49,999",Pacific,60,3,No
2161,Male,"$25,000 to $49,999",Middle Atlantic,18 - 29,3,No
2162,Male,"$50,000 to $74,999",Mountain,60,3,No
2163,Male,"$25,000 to $49,999",Mountain,30 - 44,3,Yes
2164,Male,"$75,000 to $99,999",Mountain,60,3,Yes
2165,Male,"$50,000 to $74,999",West North Central,60,3,No
2166,Male,"$0 to $9,999",West South Central,18 - 29,3,Yes
2167,Male,"$75,000 to $99,999",Pacific,60,3,No
2168,Male,"$75,000 to $99,999",,18 - 29,3,Yes
2169,Male,"$75,000 to $99,999",West North Central,45 - 59,3,No
2170,Male,"$50,000 to $74,999",,30 - 44,3,Yes
2171,Male,"$75,000 to $99,999",Middle Atlantic,30 - 44,3,Yes
2172,Male,"$100,000 to $124,999",Pacific,60,3,Yes
2173,Male,"$75,000 to $99,999",West North Central,45 - 59,3,No
2174,Male,"$200,000 and up",Mountain,60,3,Yes
2175,Male,"$25,000 to $49,999",South Atlantic,45 - 59,3,No
2176,Male,"$200,000 and up",East South Central,45 - 59,3,Yes
2177,,,,,3,No
2178,Male,"$0 to $9,999",Middle Atlantic,30 - 44,3,Yes
2179,Male,Prefer not to answer,Middle Atlantic,30 - 44,3,No
2180,Male,"$200,000 and up",East North Central,60,3,No
2181,Male,"$50,000 to $74,999",Pacific,30 - 44,3,Yes
2182,Male,Prefer not to answer,Mountain,60,3,No
2183,Male,"$125,000 to $149,999",Pacific,45 - 59,3,Yes
2184,Male,"$10,000 to $24,999",East North Central,60,3,Yes
2185,Male,"$10,000 to $24,999",West South Central,18 - 29,3,No
2186,Male,"$50,000 to $74,999",Pacific,30 - 44,3,No
2187,Male,"$75,000 to $99,999",South Atlantic,45 - 59,3,No
2188,,,,,3,No
2189,Male,"$75,000 to $99,999",West South Central,45 - 59,3,No
2190,Male,"$50,000 to $74,999",Pacific,18 - 29,3,No
2191,Male,"$75,000 to $99,999",South Atlantic,18 - 29,3,Yes
2192,Male,"$75,000 to $99,999",Mountain,45 - 59,3,No
2193,Male,Prefer not to answer,Middle Atlantic,18 - 29,3,No
2194,Male,"$125,000 to $149,999",West South Central,45 - 59,3,Yes
2195,Male,Prefer not to answer,Middle Atlantic,18 - 29,3,No
2196,Male,"$0 to $9,999",West South Central,18 - 29,3,Yes
2197,Male,Prefer not to answer,Pacific,30 - 44,3,Yes
2198,Male,"$200,000 and up",Middle Atlantic,45 - 59,3,No
2199,Male,"$75,000 to $99,999",Pacific,60,3,Yes
2200,Male,"$10,000 to $24,999",West South Central,45 - 59,3,No
2201,Male,Prefer not to answer,New England,30 - 44,3,No
2202,Male,"$10,000 to $24,999",,30 - 44,3,No
2203,Male,Prefer not to answer,Pacific,18 - 29,3,No
2204,Male,"$50,000 to $74,999",South Atlantic,45 - 59,3,Yes
2205,Male,Prefer not to answer,Mountain,60,3,Yes
2206,Male,"$125,000 to $149,999",West North Central,60,3,No
2207,Male,"$125,000 to $149,999",South Atlantic,30 - 44,3,No
2208,Male,Prefer not to answer,,30 - 44,3,Yes
2209,Male,Prefer not to answer,,18 - 29,3,Yes
2210,Male,"$75,000 to $99,999",Pacific,30 - 44,3,No
2211,Male,"$50,000 to $74,999",East South Central,60,3,No
2212,Male,"$50,000 to $74,999",Middle Atlantic,45 - 59,3,No
2213,Male,"$50,000 to $74,999",South Atlantic,60,3,Yes
2214,Male,"$200,000 and up",Pacific,30 - 44,3,No
2215,Male,Prefer not to answer,West South Central,60,3,No
2216,Male,"$50,000 to $74,999",East North Central,30 - 44,3,No
2217,Male,"$75,000 to $99,999",Middle Atlantic,60,3,Yes
2218,Male,Prefer not to answer,Middle Atlantic,30 - 44,3,Yes
2219,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,3,No
2220,Female,"$125,000 to $149,999",Middle Atlantic,60,3,Yes
2221,Male,"$75,000 to $99,999",New England,30 - 44,3,Yes
2222,Male,"$200,000 and up",East North Central,30 - 44,3,Yes
2223,Female,Prefer not to answer,South Atlantic,60,3,Yes
2224,Male,Prefer not to answer,West North Central,18 - 29,3,No
2225,Male,"$0 to $9,999",East North Central,30 - 44,3,Yes
2226,Female,"$10,000 to $24,999",East North Central,60,3,No
2227,Female,"$75,000 to $99,999",Mountain,60,3,Yes
2228,Male,"$125,000 to $149,999",South Atlantic,45 - 59,3,No
2229,Male,"$25,000 to $49,999",South Atlantic,60,3,Yes
2230,Male,"$50,000 to $74,999",Mountain,45 - 59,3,No
2231,Male,"$125,000 to $149,999",Middle Atlantic,60,3,Yes
2232,Male,"$75,000 to $99,999",South Atlantic,30 - 44,3,No
2233,Male,"$175,000 to $199,999",West South Central,30 - 44,3,No
2234,Male,"$100,000 to $124,999",Pacific,45 - 59,3,Yes
2235,Female,"$150,000 to $174,999",Pacific,60,3,No
2236,Male,"$150,000 to $174,999",Middle Atlantic,30 - 44,3,No
2237,Male,"$25,000 to $49,999",West South Central,45 - 59,3,Yes
2238,Female,Prefer not to answer,Pacific,18 - 29,3,No
2239,Female,"$25,000 to $49,999",Mountain,18 - 29,3,No
2240,Female,"$25,000 to $49,999",East North Central,18 - 29,3,Yes
2241,Male,"$25,000 to $49,999",South Atlantic,30 - 44,3,Yes
2242,Male,"$25,000 to $49,999",East South Central,30 - 44,3,No
2243,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,3,Yes
2244,Female,"$50,000 to $74,999",Pacific,60,3,Yes
2245,Female,"$10,000 to $24,999",Pacific,18 - 29,3,Yes
2246,Female,"$0 to $9,999",West South Central,18 - 29,3,No
2247,Male,"$25,000 to $49,999",East North Central,60,3,Yes
2248,Female,"$25,000 to $49,999",West North Central,60,3,No
2249,Female,"$25,000 to $49,999",Pacific,18 - 29,3,No
2250,Female,"$50,000 to $74,999",East South Central,60,3,No
2251,Male,"$50,000 to $74,999",East North Central,60,3,No
2252,Male,"$25,000 to $49,999",South Atlantic,45 - 59,3,No
2253,Female,Prefer not to answer,West North Central,60,3,No
2254,Female,"$25,000 to $49,999",Middle Atlantic,18 - 29,3,Yes
2255,Male,"$75,000 to $99,999",West South Central,45 - 59,3,No
2256,Female,"$25,000 to $49,999",South Atlantic,60,3,Yes
2257,Female,Prefer not to answer,Pacific,18 - 29,3,Yes
2258,Female,"$125,000 to $149,999",East South Central,60,3,No
2259,Male,"$175,000 to $199,999",East North Central,45 - 59,3,No
2260,Male,"$125,000 to $149,999",Mountain,60,3,Yes
2261,Male,"$25,000 to $49,999",New England,30 - 44,3,Yes
2262,Female,"$0 to $9,999",,18 - 29,3,No
2263,Male,"$75,000 to $99,999",South Atlantic,45 - 59,3,No
2264,Male,"$10,000 to $24,999",South Atlantic,30 - 44,3,No
2265,Male,"$50,000 to $74,999",West South Central,30 - 44,3,No
2266,Female,"$0 to $9,999",South Atlantic,18 - 29,3,No
2267,Male,"$75,000 to $99,999",East North Central,60,3,No
2268,Male,"$125,000 to $149,999",West South Central,60,3,Yes
2269,Female,"$75,000 to $99,999",Pacific,18 - 29,3,Yes
2270,Male,"$50,000 to $74,999",Pacific,60,3,No
2271,Male,"$50,000 to $74,999",West North Central,45 - 59,3,No
2272,Male,"$50,000 to $74,999",New England,30 - 44,3,Yes
2273,Female,Prefer not to answer,East South Central,60,3,No
2274,Male,"$100,000 to $124,999",New England,45 - 59,3,No
2275,Female,Prefer not to answer,New England,18 - 29,3,Yes
2276,Male,"$25,000 to $49,999",East North Central,60,3,No
2277,Female,Prefer not to answer,East North Central,18 - 29,3,No
2278,Female,"$75,000 to $99,999",Middle Atlantic,60,3,No
2279,Male,"$0 to $9,999",West North Central,18 - 29,3,Yes
2280,Male,"$50,000 to $74,999",Mountain,60,3,No
2281,Female,"$0 to $9,999",East North Central,18 - 29,3,Yes
2282,Male,"$50,000 to $74,999",Middle Atlantic,60,3,No
2283,Female,Prefer not to answer,West North Central,60,3,No
2284,Male,"$75,000 to $99,999",East North Central,60,3,No
2285,Male,"$100,000 to $124,999",Middle Atlantic,45 - 59,3,No
2286,Female,"$25,000 to $49,999",West North Central,45 - 59,3,No
2287,Female,"$75,000 to $99,999",West North Central,45 - 59,3,No
2288,Female,"$0 to $9,999",East North Central,18 - 29,3,Yes
2289,Male,Prefer not to answer,Mountain,30 - 44,3,Yes
2290,Female,"$50,000 to $74,999",Pacific,18 - 29,3,Yes
2291,Female,"$50,000 to $74,999",East North Central,45 - 59,3,No
2292,Male,"$50,000 to $74,999",South Atlantic,18 - 29,3,No
2293,Female,"$50,000 to $74,999",New England,45 - 59,3,No
2294,Female,"$175,000 to $199,999",West South Central,45 - 59,3,Yes
2295,Male,"$0 to $9,999",West South Central,18 - 29,3,Yes
2296,Male,"$50,000 to $74,999",Mountain,45 - 59,3,No
2297,Male,"$10,000 to $24,999",Mountain,60,3,Yes
2298,Female,Prefer not to answer,East North Central,45 - 59,3,No
2299,Female,"$25,000 to $49,999",Pacific,45 - 59,3,Yes
2300,Female,"$25,000 to $49,999",Mountain,60,3,No
2301,Male,Prefer not to answer,Pacific,30 - 44,3,No
2302,Female,"$125,000 to $149,999",West South Central,45 - 59,3,No
2303,Male,"$10,000 to $24,999",West North Central,45 - 59,3,Yes
2304,Male,"$125,000 to $149,999",East North Central,45 - 59,3,Yes
2305,Female,"$25,000 to $49,999",West North Central,18 - 29,3,Yes
2306,Female,"$0 to $9,999",West North Central,18 - 29,3,No
2307,Female,Prefer not to answer,Pacific,45 - 59,3,Yes
2308,Female,"$50,000 to $74,999",East North Central,60,3,No
2309,Female,"$125,000 to $149,999",Middle Atlantic,45 - 59,3,Yes
2310,Female,"$175,000 to $199,999",New England,45 - 59,3,No
2311,Female,"$25,000 to $49,999",East South Central,18 - 29,3,Yes
2312,Male,"$50,000 to $74,999",West North Central,60,3,No
2313,Female,"$0 to $9,999",West South Central,45 - 59,3,No
2314,Female,"$25,000 to $49,999",Pacific,45 - 59,3,No
2315,Female,"$25,000 to $49,999",Mountain,45 - 59,3,Yes
2316,Female,"$175,000 to $199,999",West South Central,45 - 59,3,Yes
2317,Male,"$75,000 to $99,999",New England,45 - 59,3,No
2318,Female,Prefer not to answer,South Atlantic,30 - 44,3,Yes
2319,Male,"$75,000 to $99,999",,45 - 59,3,No
2320,Female,Prefer not to answer,East North Central,60,3,No
2321,Male,"$50,000 to $74,999",Middle Atlantic,30 - 44,3,No
2322,Female,"$10,000 to $24,999",South Atlantic,18 - 29,3,No
2323,Male,"$125,000 to $149,999",Pacific,45 - 59,3,No
2324,Female,"$200,000 and up",West North Central,30 - 44,3,Yes
2325,Female,"$25,000 to $49,999",West North Central,30 - 44,3,No
2326,Female,"$50,000 to $74,999",West North Central,45 - 59,3,No
2327,Female,"$125,000 to $149,999",East North Central,30 - 44,3,Yes
2328,Female,"$75,000 to $99,999",East North Central,30 - 44,3,No
2329,Female,"$10,000 to $24,999",East North Central,18 - 29,3,No
2330,Male,"$50,000 to $74,999",West South Central,30 - 44,3,Yes
2331,Female,Prefer not to answer,East North Central,60,3,No
2332,Female,Prefer not to answer,Pacific,30 - 44,3,Yes
2333,Male,"$150,000 to $174,999",West South Central,60,3,Yes
2334,Female,"$100,000 to $124,999",East North Central,45 - 59,3,Yes
2335,Female,"$75,000 to $99,999",West South Central,18 - 29,3,Yes
2336,Male,"$50,000 to $74,999",West South Central,30 - 44,3,Yes
2337,Female,"$75,000 to $99,999",Pacific,45 - 59,3,Yes
2338,Male,Prefer not to answer,West South Central,60,3,No
2339,Female,"$100,000 to $124,999",West North Central,30 - 44,3,No
2340,Female,"$25,000 to $49,999",East South Central,30 - 44,3,Yes
2341,Male,"$25,000 to $49,999",New England,30 - 44,3,No
2342,Female,"$10,000 to $24,999",,30 - 44,3,No
